Sede,Operador,Servicio,Nivel de tension ,nov-25,dic-25,ene-26,feb-26,mar-26,abr-26
IBAGUE LA 28,Celsia,Regulado,1 Usuario,                       5.640,                       5.640,                       5.640,                       5.640,                       5.640,                       5.640
IBAGUE LA 28,Celsia,Regulado,1 Usuario,                       7.620,                       7.620,                       7.620,                       7.620,                       7.620,                       7.620
,,,,,,,,,
Sede,Operador,Servicio,Nivel de tension ,nov-25,dic-25,ene-26,feb-26,mar-26,abr-26
IBAGUE LA 28,Celsia,Regulado,1 OR,                       5.640,                       5.640,                       5.640,                       5.640,                       5.640,                       5.640
IBAGUE LA 28,Celsia,Regulado,1 OR,                       7.620,                       7.620,                       7.620,                       7.620,                       7.620,                       7.620
