Sede,Operador,Servicio,Nivel de tension ,nov-25,dic-25,ene-26,feb-26,mar-26,abr-26
ITAGUI-LA MAYORISTA,Epm,Regulado,1 Usuario,                       6.805,                       6.805,                       6.805,                       6.805,                       6.805,                       6.805
ITAGUI-LA MAYORISTA,Epm,Regulado,1 Usuario,                    11.843,                    11.843,                    11.843,                    11.843,                    11.843,                    11.843
ITAGUI-PDV,Epm,Regulado,1 Usuario,                    48.120,                    48.120,                    48.120,                    48.120,                    48.120,                    48.120
,,,,,,,,,
Sede,Operador,Servicio,Nivel de tension ,nov-25,dic-25,ene-26,feb-26,mar-26,abr-26
ITAGUI-LA MAYORISTA,Epm,Regulado,1 OR,                       6.805,                       6.805,                       6.805,                       6.805,                       6.805,                       6.805
ITAGUI-LA MAYORISTA,Epm,Regulado,1 OR,                    11.843,                    11.843,                    11.843,                    11.843,                    11.843,                    11.843
ITAGUI-PDV,Epm,Regulado,1 OR,                    48.120,                    48.120,                    48.120,                    48.120,                    48.120,                    48.120
