Sede,Operador,Servicio,Nivel de tension ,nov-25,dic-25,ene-26,feb-26,mar-26,abr-26
NEIVA MEDIO MAYOREO,Electrificadora del huila,Regulado,1 Usuario,                           481,                           481,                           481,                           481,                           481,                           481
,,,,,,,,,
Sede,Operador,Servicio,Nivel de tension ,nov-25,dic-25,ene-26,feb-26,mar-26,abr-26
NEIVA MEDIO MAYOREO,Electrificadora del huila,Regulado,1 OR,                           481,                           481,                           481,                           481,                           481,                           481
