Sede,Operador,Servicio,Nivel de tension ,nov-25,dic-25,ene-26,feb-26,mar-26,abr-26
CARTAGENA MEDIO MAYOREO,Afinia,Regulado,1 Usuario,                    15.280,                    15.280,                    15.280,                    15.280,                    15.280,                    15.280
VALLEDUPAR ANDINA,Afinia,Regulado,1 Usuario,                    14.700,                    14.700,                    14.700,                    14.700,                    14.700,                    14.700
VALLEDUPAR MERCADO,Afinia,Regulado,1 Usuario,                    10.123,                    10.123,                    10.123,                    10.123,                    10.123,                    10.123
,,,,,,,,,
Sede,Operador,Servicio,Nivel de tension ,nov-25,dic-25,ene-26,feb-26,mar-26,abr-26
CARTAGENA MEDIO MAYOREO,Afinia,Regulado,1 OR,                    15.280,                    15.280,                    15.280,                    15.280,                    15.280,                    15.280
VALLEDUPAR ANDINA,Afinia,Regulado,1 OR,                    14.700,                    14.700,                    14.700,                    14.700,                    14.700,                    14.700
VALLEDUPAR MERCADO,Afinia,Regulado,1 OR,                    10.123,                    10.123,                    10.123,                    10.123,                    10.123,                    10.123
