Sede,Operador,Servicio,Nivel de tension ,nov-25,dic-25,ene-26,feb-26,mar-26,abr-26
AGUACHICA,Cens,Regulado,1 Usuario,                    22.160,                    22.160,                    22.160,                    22.160,                    22.160,                    22.160
,,,,,,,,,
Sede,Operador,Servicio,Nivel de tension ,nov-25,dic-25,ene-26,feb-26,mar-26,abr-26
AGUACHICA,Cens,Regulado,1 OR,                    22.160,                    22.160,                    22.160,                    22.160,                    22.160,                    22.160
