Mes;Región ;Nivel de tensión ;Tarifa EPM;Tarifa BIA 
enero 1, 2025;ANTIOQUIA;nivel_2_operator;710.37;665.38
febrero 1, 2025;ANTIOQUIA;nivel_2_operator;718.61;665.52
marzo 1, 2025;ANTIOQUIA;nivel_2_operator;720.97;692.1
abril 1, 2025;ANTIOQUIA;nivel_2_operator;687.98;701.63
mayo 1, 2025;ANTIOQUIA;nivel_2_operator;634.21;696.19
junio 1, 2025;ANTIOQUIA;nivel_2_operator;648.92;701.08
julio 1, 2025;ANTIOQUIA;nivel_2_operator;694.34;656.33
agosto 1, 2025;ANTIOQUIA;nivel_2_operator;700.16;657.6
septiembre 1, 2025;ANTIOQUIA;nivel_2_operator;682.26;659.41
octubre 1, 2025;ANTIOQUIA;nivel_2_operator;684.01;663.34
noviembre 1, 2025;ANTIOQUIA;nivel_2_operator;671.67;670.46
diciembre 1, 2025;ANTIOQUIA;nivel_2_operator;662.77;673.47
enero 1, 2026;ANTIOQUIA;nivel_2_operator;656.02;653.71
febrero 1, 2026;ANTIOQUIA;nivel_2_operator;610.03;634.48
marzo 1, 2026;ANTIOQUIA;nivel_2_operator;676.91;608.11
abril 1, 2026;ANTIOQUIA;nivel_2_operator;667.61;641.05
