Sede,Operador,Servicio,Nivel de tension ,nov-25,dic-25,ene-26,feb-26,mar-26,abr-26
SANTA MARTA MEDIO MAYOREO 2,Aire,Regulado,1 Usuario,                       1.162,                       1.162,                       1.162,                       1.162,                       1.162,                       1.162
,,,,,,,,,
Sede,Operador,Servicio,Nivel de tension ,nov-25,dic-25,ene-26,feb-26,mar-26,abr-26
SANTA MARTA MEDIO MAYOREO 2,Aire,Regulado,1 OR,                       1.162,                       1.162,                       1.162,                       1.162,                       1.162,                       1.162
